"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,4,42,98,23,54,0.3,0.298701298701299,0.0012987012987013,-0.171768707482993,0.173067408781695,217
"2",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,7,7,32,9,23,0.179487179487179,0.28125,-0.101762820512821,-0.290760869565217,0.188998049052397,71
"3",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,8,21,81,21,42,0.205882352941176,0.333333333333333,-0.127450980392157,-0.0355509355509356,0.0919000448412213,165
"4",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,9,13,43,10,34,0.232142857142857,0.227272727272727,0.00487012987012989,0.101960784313725,0.0970906544435956,100
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,12,47,138,42,105,0.254054054054054,0.285714285714286,-0.0316602316602316,-0.0894022672621092,0.0577420356018776,332
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,13,11,62,16,30,0.150684931506849,0.347826086956522,-0.197141155449672,0.0532019704433498,0.250343125893022,119
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,15,16,66,17,26,0.195121951219512,0.395348837209302,-0.20022688598979,-0.0696040868454662,0.130622799144324,125
"8",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,17,23,82,21,45,0.219047619047619,0.318181818181818,-0.0991341991341991,0.0948780487804878,0.194012247914687,171
"9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,18,8,22,3,10,0.266666666666667,0.230769230769231,0.0358974358974359,0.319444444444444,0.283547008547009,43
"10",1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,68,0,33,0.0144927536231884,0,0.0144927536231884,-0.127659574468085,0.142152328091274,102
"11",1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,41,1,24,0,0.04,-0.04,0,0.04,66
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,36,2,34,0.121951219512195,0.0555555555555556,0.0663956639566396,-0.00348837209302326,0.0698840360496628,77
"13",1,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,1,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27,2,51,2,34,0.0377358490566038,0.0555555555555556,-0.0178197064989518,-0.0833333333333333,0.0655136268343816,89
"14",1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28,0,51,2,29,0,0.0645161290322581,-0.0645161290322581,0,0.0645161290322581,82
