"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,12,17,10,0.2,0.62962962962963,-0.42962962962963,-0.289130434782609,0.140499194847021,42
"2",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,51,12,38,0.28169014084507,0.24,0.0416901408450704,-0.230555555555556,0.272245696400626,121
"3",NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,78,201,51,140,0.279569892473118,0.267015706806283,0.0125541856668355,-0.0720046082949309,0.0845587939617664,470
"4",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,197,4,212,0.0247524752475248,0.0185185185185185,0.00623395672900624,0.00154686078252957,0.00468709594647666,418
"5",NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,12,0,24,4,22,0,0.153846153846154,-0.153846153846154,-0.2,0.0461538461538462,50
"6",NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,13,2,22,7,19,0.0833333333333333,0.269230769230769,-0.185897435897436,0.0792540792540793,0.265151515151515,50
"7",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,15,2,15,3,15,0.117647058823529,0.166666666666667,-0.0490196078431372,-0.0555555555555556,0.00653594771241831,35
"8",NA,NA,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,16,1,31,1,30,0.03125,0.032258064516129,-0.00100806451612903,0.214285714285714,0.215293778801843,63
"9",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,20,15,67,16,49,0.182926829268293,0.246153846153846,-0.0632270168855535,-0.184051398337113,0.120824381451559,147
"10",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,22,4,40,2,22,0.0909090909090909,0.0833333333333333,0.00757575757575758,-0.234432234432234,0.242007992007992,68
"11",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,23,4,34,5,29,0.105263157894737,0.147058823529412,-0.0417956656346749,0.0318396226415094,0.0736352882761844,72
"12",NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,24,9,57,4,32,0.136363636363636,0.111111111111111,0.0252525252525252,0.0333046224519093,0.00805209719938402,102
"13",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,25,62,411,48,225,0.13107822410148,0.175824175824176,-0.0447459517226959,0.0304917846703936,0.0752377363930895,746
