"","pldel","birattnd","mager8","ormoth","mrace","meduc6","dmar","mplbir","mpre5","adequacy","orfath","frace","gestat10","anemia","cardiac","lung","diabetes","herpes","hydra","hemo","chyper","phyper","eclamp","incervix","pre4000","preterm","renal","rh","uterine","othermr","tobacco","alcohol","cigar6","drink5","nprevistq","dfageq","feduc6","dlivord_min","dtotord_min","mplbir_reg","T","target","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,30,109,29,67,0.215827338129496,0.302083333333333,-0.0862559952038369,-0.188859754801219,0.102603759597382,235
"2",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,7,5,35,12,15,0.125,0.444444444444444,-0.319444444444444,-0.240079365079365,0.0793650793650794,67
"3",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,8,6,23,4,14,0.206896551724138,0.222222222222222,-0.0153256704980843,0.0740740740740741,0.0893997445721584,47
"4",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,18,53,8,38,0.253521126760563,0.173913043478261,0.0796080832823025,0.0606135576447303,0.0189945256375722,117
"5",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,105,331,82,207,0.240825688073394,0.283737024221453,-0.0429113361480588,-0.0600180156993952,0.0171066795513364,725
"6",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,8,30,5,18,0.210526315789474,0.217391304347826,-0.00686498855835241,0.00228832951945079,0.0091533180778032,61
"7",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,15,10,25,7,21,0.285714285714286,0.25,0.0357142857142857,0.232620320855615,0.196906035141329,63
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,16,2,13,6,15,0.133333333333333,0.285714285714286,-0.152380952380952,0.213793103448276,0.366174055829228,36
"9",NA,NA,NA,0,1,0,NA,NA,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,20,1,19,1,19,0.05,0.05,0,-0.167741935483871,0.167741935483871,40
"10",NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22,1,53,3,49,0.0185185185185185,0.0576923076923077,-0.0391737891737892,-0.0666666666666667,0.0274928774928775,106
